airline_id,airline_code,airline_name,check_in_link,check_in_time
1001,CQ,Coastal Travels,,0
134,CR,OAG,,0
1027,CS,Continental Micronesia, Inc.,,0
115,CT,Alitalia CityLiner,,0
663,CU,Cubana de Aviación,https://checkin.si.amadeus.net/static/PRD/CU/#/identification,24
1054,CV,Cargolux,,0
823,CX,Cathay Pacific,https://www.cathaypacific.com/mb/#/en_GB/olci/login,48
412,CY,Cyprus Airways,,0
457,CZ,China Southern Airlines,https://www.csair.com/gb/en/online_checkin/,24
379,D0,DHL Air Limited,,0
1051,D2,Severstal Air,,0
243,D3,Daallo Airlines,,0
1013,D4,Georgian Wings,,0
195,D5,DHL Aero Expreso S.A.,,0
196,D6,Inter Air,,0
768,D7,AirAsia X,https://www.airasia.com/check-in/v2/en/gb,24
1060,D8,Norwegian Air International,,0
386,D9,Donavia,,0
1102,DB,Brit Air,,0
716,DC,Braathens Regional,,0
1064,DD,Nok Air,https://booking.nokair.com/en/checkin?confirmationNumber={PNR}&bookingLastName={LAST},24
666,DE,Condor,https://www.condor.com/tcibe/eu/mybooking/login,24
1071,DF,Condor,,0
770,DG,Cebgo,https://book.cebupacificair.com/Mobile/CheckIn/Retrieve,48
512,DH,Douniah Airlines,,0
972,DI,Norwegian Air,,0
433,DJ,Air Djibouti,,0
345,DK,Thomas Cook Airlines Scandinavia,https://checkin.si.amadeus.net/static/PRD/DK/#/identification?ISurname={LAST}&IFormOfIdentification=PNR&IIdentification={PNR}&ln=en,24
182,DL,Delta Air Lines,https://www.delta.com/PCCOciWeb/findBy.action,24
434,DM,Arajet,,0
597,DN,DAN AIR,,0
748,DO,Discovery Airways,,0
1046,DP,Pobeda,https://checkin.flypobeda.ru/check-in/?lang=en#/search,48
447,DQ,Alexandria Airlines,,0
478,DR,Ruili Airlines,https://www.rlair.net/#/selfCenter/flightCheckin,24
588,DS,easyJet Switzerland,https://www.easyjet.com/en/?chkin=1,24
239,DT,TAAG Angola Airlines,https://checkin.si.amadeus.net/static/PRD/DT/#/checkindirect?ISurname={LAST}&IFormOfIdentification=PNR&IIdentification={PNR}&ln=en,24
1068,DU,Norwegian Long Haul,,0
349,DV,SCAT,https://checkin.scat.kz/dx/DVCI/#/check-in/deep-link?deepLink=true&locale=en-US&recordLocator={PNR}&lastName={LAST},24
353,DW,Aero-Charter Ukraine,,0
1047,DX,Danish Air Transport,https://dat.dk/check-in/?___store=dat_en,24
830,DY,Norwegian Air Shuttle,https://www.norwegian.com/en/ipr/CheckIn#/checkin/gotoresdetails?pnr={PNR}&pnrName={LAST},24
244,DZ,Donghai Airlines,,0
504,E2,Eagle Atlantic Airlines,,0
176,E4,Enter Air,,0
642,E5,Air Arabia Egypt,,0
713,E6,Bringer Air Cargo,,0
634,E7,Equaflight Service,,0
219,E8,Tayaran Jet,,0
427,E9,Iberojet,,0
728,EA,East Horizon Airlines,,0
100,EB,Wamos Air,,0
360,EC,EasyJet Europe,https://www.flylevel.com/?culture=en-GB&rl={PNR}&ap={IATA_DEP}&dt={DEP_DATE_EU}&currency=EUR,24
736,ED,AirExplore,,0
569,EE,Regional Jet OÜ,,0
672,EF,Fly CamInter,,0
376,EG,Ernest Airline,,0
1043,EH,ANA Wings,https://aswbe-i.ana.co.jp/international_asw/pages/webcheckin/checkin_search_input.xhtml?CONNECTION_KIND=JPN&LANG=en,24
868,EI,Aer Lingus,https://webcheckin.aerlingus.com/html/checkIn/checkin.html#?pnr={PNR}&surname={LAST},24
747,EJ,New England Airlines,,0
990,EK,Emirates,https://mobile.emirates.com/english/CKIN/OLCI/flightInfo.xhtml,48
933,EL,Ellinair,,0
977,EM,Empire Airlines,,0
584,EN,Air Dolomiti,https://www.lufthansa.com/xx/en/online-check-in,24
838,EO,Pegas Fly,,0
417,EP,Iran Aseman Airlines,,0
192,EQ,TAME Linea Aerea del Ecuador,,0
506,ER,Air East,,0
607,ES,DHL Aviation EEMEA B.S.C.(c),,0
1053,ET,Ethiopian Airlines,https://dxcheckin.ethiopianairlines.com/dx/ETCI/#/check-in/deep-link?deepLink=true&searchOption=PNR&recordLocator={PNR}&lastName={LAST}&locale=en-GB,24
365,EU,Chengdu Airlines,,0
